40
0.43	0.37	0.42	0.46	0.78	0.44	0.79	0.81	0.44	0.88	0.45	0.13	0.45	0.48	0.43	0.54	0.00	0.76	0.20	0.13	0.79	0.48	0.46	0.43	0.86	0.41	0.49	0.18	0.45	0.45	0.45	0.78	0.84	0.41	0.47	0.12	0.13	0.84	0.20	0.15
1.14	0.91	0.41	1.16	0.29	1.12	0.33	0.35	0.35	0.34	1.15	0.81	1.15	1.16	0.36	0.31	0.76	0.00	0.81	0.80	0.32	0.40	1.10	0.38	0.33	0.37	0.37	0.79	0.42	1.16	1.13	0.23	0.37	0.42	1.17	0.81	0.79	0.28	0.84	0.79
0.37	0.19	0.54	0.38	0.89	0.36	0.91	0.93	0.53	0.99	0.37	0.09	0.38	0.39	0.53	0.61	0.20	0.81	0.00	0.10	0.91	0.55	0.39	0.52	0.97	0.50	0.60	0.10	0.58	0.39	0.37	0.87	0.96	0.54	0.40	0.08	0.11	0.94	0.09	0.10
0.36	0.25	0.50	0.38	0.86	0.36	0.87	0.89	0.51	0.96	0.38	0.06	0.38	0.41	0.51	0.58	0.13	0.80	0.10	0.00	0.87	0.55	0.39	0.49	0.94	0.48	0.57	0.07	0.54	0.38	0.38	0.84	0.93	0.49	0.40	0.05	0.12	0.92	0.10	0.07
1.19	1.05	0.39	1.22	0.04	1.19	0.12	0.03	0.38	0.14	1.21	0.88	1.21	1.23	0.39	0.39	0.79	0.32	0.91	0.87	0.00	0.47	1.17	0.41	0.13	0.43	0.34	0.88	0.36	1.21	1.20	0.10	0.12	0.40	1.23	0.88	0.85	0.18	0.92	0.87
0.87	0.70	0.29	0.89	0.45	0.84	0.53	0.50	0.22	0.51	0.86	0.53	0.88	0.86	0.20	0.33	0.48	0.40	0.55	0.55	0.47	0.00	0.84	0.29	0.48	0.18	0.20	0.56	0.27	0.89	0.84	0.44	0.48	0.32	0.89	0.54	0.49	0.43	0.58	0.53
0.17	0.38	0.83	0.16	1.15	0.13	1.18	1.18	0.84	1.26	0.15	0.37	0.16	0.17	0.84	0.84	0.46	1.10	0.39	0.39	1.17	0.84	0.00	0.84	1.24	0.82	0.90	0.42	0.87	0.17	0.14	1.14	1.22	0.83	0.16	0.39	0.41	1.21	0.32	0.35
0.84	0.66	0.08	0.87	0.40	0.84	0.40	0.44	0.08	0.51	0.86	0.51	0.86	0.88	0.10	0.30	0.43	0.38	0.52	0.49	0.41	0.29	0.84	0.00	0.49	0.10	0.16	0.49	0.14	0.86	0.86	0.38	0.48	0.08	0.88	0.50	0.49	0.47	0.56	0.50
1.27	1.12	0.47	1.29	0.12	1.25	0.23	0.14	0.45	0.02	1.28	0.95	1.28	1.29	0.45	0.45	0.86	0.33	0.97	0.94	0.13	0.48	1.24	0.49	0.00	0.48	0.39	0.95	0.43	1.28	1.27	0.15	0.05	0.49	1.30	0.95	0.92	0.08	0.99	0.94
0.82	0.65	0.13	0.85	0.41	0.81	0.44	0.45	0.06	0.50	0.84	0.48	0.84	0.85	0.05	0.27	0.41	0.37	0.50	0.48	0.43	0.18	0.82	0.10	0.48	0.00	0.12	0.48	0.15	0.84	0.83	0.39	0.47	0.15	0.86	0.48	0.45	0.45	0.53	0.48
0.90	0.76	0.14	0.93	0.33	0.89	0.37	0.37	0.11	0.41	0.92	0.57	0.92	0.93	0.09	0.31	0.49	0.37	0.60	0.57	0.34	0.20	0.90	0.16	0.39	0.12	0.00	0.58	0.09	0.92	0.91	0.33	0.38	0.16	0.94	0.57	0.54	0.36	0.63	0.57
0.39	0.21	0.51	0.41	0.87	0.40	0.87	0.90	0.51	0.97	0.41	0.12	0.41	0.44	0.51	0.59	0.18	0.79	0.10	0.07	0.88	0.56	0.42	0.49	0.95	0.48	0.58	0.00	0.55	0.41	0.41	0.85	0.94	0.50	0.43	0.10	0.16	0.92	0.13	0.12
0.87	0.74	0.08	0.90	0.36	0.87	0.38	0.38	0.12	0.45	0.89	0.54	0.89	0.91	0.11	0.32	0.45	0.42	0.58	0.54	0.36	0.27	0.87	0.14	0.43	0.15	0.09	0.55	0.00	0.88	0.88	0.36	0.41	0.10	0.91	0.54	0.52	0.42	0.60	0.55
0.02	0.38	0.85	0.04	1.20	0.11	1.21	1.22	0.87	1.31	0.09	0.37	0.03	0.15	0.86	0.91	0.45	1.16	0.39	0.38	1.21	0.89	0.17	0.86	1.28	0.84	0.92	0.41	0.88	0.00	0.13	1.19	1.27	0.84	0.06	0.37	0.41	1.26	0.33	0.37
0.13	0.36	0.85	0.10	1.18	0.02	1.21	1.22	0.86	1.29	0.04	0.35	0.10	0.04	0.85	0.89	0.45	1.13	0.37	0.38	1.20	0.84	0.14	0.86	1.27	0.83	0.91	0.41	0.88	0.13	0.00	1.18	1.25	0.85	0.08	0.37	0.39	1.24	0.31	0.36
1.17	1.01	0.37	1.20	0.07	1.17	0.14	0.12	0.35	0.16	1.19	0.85	1.19	1.21	0.36	0.34	0.78	0.23	0.87	0.84	0.10	0.44	1.14	0.38	0.15	0.39	0.33	0.85	0.36	1.19	1.18	0.00	0.18	0.39	1.21	0.85	0.83	0.16	0.90	0.84
1.25	1.11	0.45	1.28	0.13	1.24	0.24	0.13	0.44	0.07	1.26	0.93	1.27	1.27	0.44	0.46	0.84	0.37	0.96	0.93	0.12	0.48	1.22	0.48	0.05	0.47	0.38	0.94	0.41	1.27	1.25	0.18	0.00	0.47	1.28	0.93	0.90	0.11	0.98	0.92
0.83	0.69	0.03	0.86	0.39	0.83	0.39	0.42	0.11	0.51	0.85	0.51	0.85	0.88	0.12	0.30	0.41	0.42	0.54	0.49	0.40	0.32	0.83	0.08	0.49	0.15	0.16	0.50	0.10	0.84	0.85	0.39	0.47	0.00	0.87	0.50	0.49	0.47	0.56	0.51
0.08	0.39	0.87	0.05	1.22	0.07	1.24	1.24	0.89	1.32	0.04	0.38	0.04	0.10	0.88	0.92	0.47	1.17	0.40	0.40	1.23	0.89	0.16	0.88	1.30	0.86	0.94	0.43	0.91	0.06	0.08	1.21	1.28	0.87	0.00	0.39	0.42	1.27	0.34	0.39
0.35	0.26	0.51	0.38	0.86	0.35	0.88	0.90	0.51	0.97	0.37	0.03	0.37	0.39	0.51	0.60	0.12	0.81	0.08	0.05	0.88	0.54	0.39	0.50	0.95	0.48	0.57	0.10	0.54	0.37	0.37	0.85	0.93	0.50	0.39	0.00	0.08	0.92	0.09	0.07
0.40	0.30	0.49	0.41	0.84	0.37	0.87	0.88	0.49	0.94	0.39	0.07	0.41	0.40	0.48	0.58	0.13	0.79	0.11	0.12	0.85	0.49	0.41	0.49	0.92	0.45	0.54	0.16	0.52	0.41	0.39	0.83	0.90	0.49	0.42	0.08	0.00	0.88	0.12	0.10
1.24	1.08	0.45	1.27	0.15	1.22	0.27	0.20	0.42	0.09	1.25	0.92	1.26	1.26	0.42	0.43	0.84	0.28	0.94	0.92	0.18	0.43	1.21	0.47	0.08	0.45	0.36	0.92	0.42	1.26	1.24	0.16	0.11	0.47	1.27	0.92	0.88	0.00	0.96	0.91
0.31	0.21	0.56	0.33	0.91	0.29	0.93	0.94	0.56	1.01	0.32	0.08	0.32	0.33	0.56	0.62	0.20	0.84	0.09	0.10	0.92	0.58	0.32	0.56	0.99	0.53	0.63	0.13	0.60	0.33	0.31	0.90	0.98	0.56	0.34	0.09	0.12	0.96	0.00	0.06
0.35	0.25	0.51	0.37	0.85	0.34	0.87	0.89	0.51	0.96	0.36	0.05	0.37	0.38	0.51	0.57	0.15	0.79	0.10	0.07	0.87	0.53	0.35	0.50	0.94	0.48	0.57	0.12	0.55	0.37	0.36	0.84	0.92	0.51	0.39	0.07	0.10	0.91	0.06	0.00
